#{"t_start": 1768429459.5225291, "env_id": "Acrobot-v1"}
r,l,t
-87.0,88,132.087089
-88.0,89,132.1413
-156.0,157,132.246092
-99.0,100,132.319014
-75.0,76,132.377212
-84.0,85,132.438064
-74.0,75,132.497975
-96.0,97,132.561682
-78.0,79,132.620065
-100.0,101,132.684227
-81.0,82,132.745302
-70.0,71,132.790146
-62.0,63,132.839088
-84.0,85,132.894081
-88.0,89,132.962196
-93.0,94,133.025279
-62.0,63,133.076371
-79.0,80,133.149175
-107.0,108,133.247256
-94.0,95,133.311343
-119.0,120,134.639434
-75.0,76,134.699114
-78.0,79,134.764119
-77.0,78,134.816408
-70.0,71,134.867046
-77.0,78,134.918007
-88.0,89,134.983979
-63.0,64,135.029098
-95.0,96,135.103931
-71.0,72,135.148315
-81.0,82,135.222662
-72.0,73,135.291029
-83.0,84,135.344337
-80.0,81,135.400137
-94.0,95,135.46069
-78.0,79,135.518118
-91.0,92,135.577942
-87.0,88,135.647055
-92.0,93,135.706002
-84.0,85,135.766052
-90.0,91,135.834116
-76.0,77,135.892433
-69.0,70,135.951478
-76.0,77,136.005169
-71.0,72,136.058184
